imgnum,mid,text,label
0,552784898743099392,Charlie Hebdo’s Last Tweet Before Shootings http://t.co/9Oa2xAqOcM http://t.co/skJHNEQcn0,0
1,552786116404072448,"10:28am Charlie Hebdo account mocks ISIS leader, wishing him ""good health and best wishes"" http://t.co/9Oa2xAqOcM http://t.co/uYXayKLA7q",0
2,552786340958715904,Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,0
3,552787144373460992,Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/lzQdhJ6kxR,0
4,552787144415404032,Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/k6inhBmGsf,0
5,552787361437057024,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",0
6,552788720236376064,French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,0
7,552789196906459136,"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj",0
8,552789252690706432,#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,0
9,552789443644751872,"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u",0
10,552789583260577792,"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."" http://t.co/5EzG448CNm",0
11,552790565642067968,"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac",0
12,552790695036321793,"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT",0
13,552791159232540673,This is the #CharlieHebdo cover of Prophet Mohammed that provoked firebombing of its offices http://t.co/hOUA9DrVaK http://t.co/vDj5EGiRRq,0
14,552791203432103937,Why it's Charlie Hebdo's right to draw Muhammad http://t.co/GlF9dgwFS0 http://t.co/Vkfw5ZbmvC,0
